loan_id,collateral_type,collateral_value,ltv_ratio
LOAN000332,Property,1536,0.92
LOAN000232,Vehicle,23016,0.79
LOAN000069,Vehicle,21664,0.75
LOAN000878,Property,6622,0.36
LOAN000015,Property,47846,0.43
LOAN000068,Property,32286,1.09
LOAN000052,None,48957,0.67
LOAN000684,Vehicle,16650,0.85
LOAN000946,None,22594,0.78
LOAN000993,Property,12192,0.64
LOAN000773,Property,12554,0.65
LOAN000378,None,2267,0.8
LOAN000800,Property,5208,0.43
LOAN000462,Vehicle,41621,0.65
LOAN000526,None,29792,0.7
LOAN000781,Property,28582,1.19
LOAN000678,Property,34524,0.62
LOAN000062,None,27234,0.88
LOAN000260,Property,43411,0.42
LOAN000499,Property,23961,0.36
LOAN000120,Property,5851,1.08
LOAN000857,Property,47531,0.96
LOAN000239,Vehicle,34017,0.59
LOAN000464,Property,17592,0.75
LOAN000106,Vehicle,39684,0.42
LOAN000179,Property,40218,0.94
LOAN000015,None,45596,0.36
LOAN000354,Vehicle,25541,0.98
LOAN000933,Vehicle,26176,0.79
LOAN000308,Vehicle,34981,0.55
LOAN000726,Property,13277,1.08
LOAN000588,None,24820,1.19
LOAN000736,Property,8808,0.53
LOAN000604,Vehicle,43941,1.03
LOAN000180,Property,48646,0.98
LOAN000173,Property,15829,0.97
LOAN000353,Vehicle,14382,1.16
LOAN000353,Property,49847,0.74
LOAN000218,Vehicle,5214,0.91
LOAN000654,Property,26550,1.04
LOAN000314,Vehicle,43932,0.73
LOAN000433,Vehicle,16253,0.73
LOAN000904,None,30479,0.59
LOAN000281,Property,45589,1.0
LOAN000258,Vehicle,15130,0.92
LOAN000867,None,18158,0.71
LOAN000558,Property,4209,0.68
LOAN000004,Vehicle,33606,0.37
LOAN000573,Property,40029,0.31
LOAN000979,None,37543,0.78
LOAN000595,Property,11991,0.68
LOAN000644,Vehicle,40030,1.02
LOAN000393,Property,9334,0.79
LOAN000335,Property,14858,1.14
LOAN000062,None,10372,0.48
LOAN000792,Vehicle,22157,1.19
LOAN000043,Property,25327,0.57
LOAN000152,Vehicle,8673,0.88
LOAN000925,Property,17185,0.75
LOAN000781,None,11833,0.62
LOAN000853,Vehicle,11856,0.43
LOAN000682,Vehicle,41084,0.42
LOAN000155,Property,45417,0.94
LOAN000477,Property,11844,0.64
LOAN000274,Vehicle,49455,1.17
LOAN000357,Property,45119,0.59
LOAN000425,None,40498,1.19
LOAN000531,Property,42071,0.48
LOAN000482,Property,16295,0.39
LOAN000213,Vehicle,30243,0.58
LOAN000078,None,2443,1.1
LOAN000138,Vehicle,25149,0.77
LOAN000949,Vehicle,47283,0.42
LOAN000097,Vehicle,21521,0.48
LOAN000888,Property,8848,0.58
LOAN000663,None,12250,0.83
LOAN000197,Vehicle,5885,0.6
LOAN000784,None,17139,0.97
LOAN000155,None,19994,0.85
LOAN000049,Property,42511,1.09
LOAN000478,Property,49541,0.75
LOAN000227,Vehicle,38300,0.6
LOAN000950,Vehicle,39529,1.2
LOAN000456,None,19140,0.62
LOAN000521,Property,35902,0.69
LOAN000148,Vehicle,2391,1.03
LOAN000057,Property,28759,0.38
LOAN000161,None,29487,0.65
LOAN000862,Property,11183,0.38
LOAN000476,Vehicle,10467,0.43
LOAN000106,Property,12628,0.3
LOAN000426,Property,40694,0.31
LOAN000394,Vehicle,35238,0.64
LOAN000800,Vehicle,28795,1.03
LOAN000185,Property,20837,0.83
LOAN000557,Property,22702,0.87
LOAN000956,Vehicle,7271,0.77
LOAN000445,Vehicle,43952,1.04
LOAN000640,Vehicle,13357,1.09
LOAN000916,Vehicle,31801,1.06
LOAN000829,Vehicle,31960,1.03
LOAN000447,Property,21887,0.46
LOAN000086,Property,10332,0.83
LOAN000248,Property,47908,0.82
LOAN000840,Property,13126,0.78
LOAN000439,Vehicle,18985,0.73
LOAN000256,Property,13923,0.38
LOAN000276,Vehicle,31903,0.39
LOAN000789,Vehicle,31123,1.11
LOAN000437,Vehicle,17302,0.87
LOAN000515,None,16833,0.54
LOAN000576,Vehicle,35620,0.55
LOAN000946,None,28585,0.85
LOAN000201,Vehicle,22659,0.67
LOAN000574,Property,25160,0.7
LOAN000654,Property,35019,0.35
LOAN000755,Vehicle,29297,0.42
LOAN000803,Vehicle,19541,0.65
LOAN000796,None,45435,0.93
LOAN000179,Property,23007,0.34
LOAN000685,Vehicle,6024,0.6
LOAN000324,Vehicle,19235,0.93
LOAN000924,None,28175,1.01
LOAN000622,None,48451,0.47
LOAN000686,Property,18173,0.96
LOAN000474,Vehicle,44583,1.16
LOAN000664,None,35970,1.12
LOAN000975,Vehicle,42103,1.01
LOAN000399,Property,19789,0.94
LOAN000867,Property,31730,0.51
LOAN000216,Vehicle,15042,0.87
LOAN000808,Property,45527,0.88
LOAN000960,None,36190,0.67
LOAN000452,Property,7154,0.74
LOAN000403,Vehicle,2521,0.92
LOAN000964,Vehicle,47223,1.16
LOAN000931,Vehicle,20508,0.57
LOAN000988,Vehicle,23228,0.52
LOAN000239,Property,24662,0.84
LOAN000737,Property,27946,0.42
LOAN000185,Vehicle,30479,0.82
LOAN000047,Vehicle,48984,0.38
LOAN000977,Vehicle,44578,0.74
LOAN000385,Property,49788,0.86
LOAN000207,Property,4725,0.36
LOAN000156,Property,9709,0.49
LOAN000224,Property,45160,0.6
LOAN000143,Property,16223,0.63
LOAN000418,Property,45987,0.91
LOAN000110,Vehicle,3640,0.78
LOAN000829,Property,12221,0.64
LOAN000874,Vehicle,3087,0.71
LOAN000873,Vehicle,43842,0.31
LOAN000464,None,39937,0.99
LOAN000131,Vehicle,19489,0.34
LOAN000624,Property,33226,1.05
LOAN000835,Property,5504,0.79
LOAN000946,Vehicle,14801,0.78
LOAN000600,Vehicle,33179,0.93
LOAN000672,Property,28603,1.07
LOAN000333,Vehicle,41668,1.15
LOAN000919,Vehicle,8004,0.79
LOAN000074,None,37078,0.44
