customer_id,country,customer_type,annual_income,credit_score,created_at
CUST000000,UAE,SME,36724,715,2019-01-21 02:31:05.081876516
CUST000001,Singapore,Retail,8288,408,2019-07-10 11:01:30.143454075
CUST000002,USA,Retail,28582,796,2021-04-01 10:08:46.995751858
CUST000003,Singapore,SME,24534,640,2019-11-07 01:25:08.213924885
CUST000004,Singapore,SME,35979,682,2020-11-27 18:30:28.764703512
CUST000005,UK,Retail,11780,832,2024-03-21 19:15:55.791899204
CUST000006,USA,Retail,18552,599,2023-10-09 19:17:33.723049164
CUST000007,USA,Retail,17031,438,2022-05-31 00:17:14.145214319
CUST000008,USA,Retail,23304,658,2024-01-04 05:07:56.475846291
CUST000009,Singapore,SME,29403,798,2023-06-28 02:32:38.289157867
CUST000010,UAE,SME,45357,684,2021-01-01 21:56:50.269962311
CUST000011,USA,SME,10642,579,2019-05-30 02:57:58.503603696
CUST000012,Singapore,Retail,48855,782,2021-08-07 19:29:21.923855305
CUST000013,UK,Retail,10366,410,2023-02-26 12:53:38.626843452
CUST000014,UAE,SME,5031,438,2021-01-20 22:11:52.565415621
CUST000015,UK,SME,45954,734,2022-09-01 22:27:30.814625502
CUST000016,UAE,Retail,38598,808,2018-08-30 04:41:07.787863493
CUST000017,Singapore,SME,38778,572,2023-03-28 15:33:16.781904936
CUST000018,Nigeria,SME,28638,398,2023-09-10 02:36:33.932150841
CUST000019,UAE,Retail,27565,403,2022-12-13 09:13:31.920744896
CUST000020,UK,Retail,30456,513,2024-10-09 07:01:54.621544838
CUST000021,Singapore,Retail,42232,464,2023-10-15 17:59:00.464080572
CUST000022,UAE,Retail,39761,819,2024-04-28 05:03:21.212378740
CUST000023,Nigeria,Retail,11259,583,2024-07-15 03:23:24.898664236
CUST000024,Nigeria,SME,5939,816,2023-08-12 01:07:24.835122824
CUST000025,USA,Retail,47741,463,2022-09-21 01:54:59.818517447
CUST000026,USA,Retail,43033,363,2018-01-15 14:56:16.443416119
CUST000027,UK,Retail,28770,390,2021-04-06 02:47:41.365668297
CUST000028,UAE,Retail,13779,416,2021-12-31 11:05:16.590685368
CUST000029,UAE,SME,39779,566,2020-02-17 09:43:47.134519815
CUST000030,USA,Retail,44751,439,2020-03-24 09:26:01.311260223
CUST000031,UAE,Retail,24388,545,2024-09-23 16:25:51.683885098
CUST000032,UAE,SME,18130,694,2024-03-30 02:30:44.552743673
CUST000033,Nigeria,Retail,35644,786,2023-12-12 08:25:01.954662800
CUST000034,USA,Retail,31682,775,2020-11-04 04:07:56.089562178
CUST000035,Singapore,Retail,26038,816,2018-02-05 00:39:09.509379386
CUST000036,USA,Retail,12324,483,2018-07-25 03:04:43.753779411
CUST000037,Singapore,Retail,32625,319,2020-03-09 06:52:00.209200382
CUST000038,Nigeria,Retail,7479,823,2018-02-10 06:06:39.904987335
CUST000039,UK,Retail,26689,828,2018-02-13 20:26:52.139658689
CUST000040,UAE,SME,43100,446,2024-06-01 18:06:41.094689369
CUST000041,Nigeria,Retail,13004,603,2022-12-11 15:32:05.848951578
CUST000042,UAE,Retail,21169,527,2020-03-01 00:00:40.314608574
CUST000043,UK,Retail,7410,401,2018-12-06 04:07:56.777575016
CUST000044,UK,Retail,47357,716,2021-08-01 06:03:38.648826361
CUST000045,Nigeria,Retail,35464,515,2018-01-14 16:04:59.517518282
CUST000046,UK,Retail,20631,706,2024-07-27 12:34:28.679111719
CUST000047,Singapore,SME,25727,698,2020-11-26 16:22:27.287979364
CUST000048,UK,Retail,6478,798,2020-10-25 18:29:29.518816709
CUST000049,UAE,Retail,22491,764,2020-09-25 17:56:54.636283636
CUST000050,UAE,Retail,17653,381,2018-06-27 06:32:27.525250911
CUST000051,UAE,SME,34048,664,2022-06-21 04:33:33.161561251
CUST000052,UAE,Retail,43176,462,2023-02-18 06:57:58.065670013
CUST000053,Singapore,Retail,39571,347,2022-09-25 20:27:48.237113476
CUST000054,USA,Retail,47954,810,2018-12-20 23:30:33.676697731
CUST000055,Nigeria,SME,4483,628,2022-01-20 02:15:48.355229616
CUST000056,UAE,Retail,10003,415,2021-12-27 04:07:25.768858433
CUST000057,UK,SME,30421,636,2024-01-30 12:37:59.643792152
CUST000058,UAE,Retail,17405,446,2020-08-27 10:18:22.101108074
CUST000059,UK,Retail,46338,622,2020-08-07 21:20:57.805771828
CUST000060,UK,Retail,24453,742,2022-05-01 13:46:06.741903305
CUST000061,UAE,Retail,27306,312,2022-06-07 18:24:09.359849215
CUST000062,Singapore,Retail,45500,793,2021-04-14 23:05:44.989904881
CUST000063,UK,Retail,22668,586,2021-02-06 21:40:01.010975838
CUST000064,UK,SME,5083,413,2021-06-17 12:51:15.306140184
CUST000065,UAE,Retail,39214,779,2024-01-11 16:37:40.583709240
CUST000066,UK,Retail,49645,321,2021-03-25 04:53:25.426139832
CUST000067,UK,Retail,40396,648,2024-07-31 09:44:03.154574633
CUST000068,UAE,Retail,12389,619,2021-07-12 17:42:10.671765566
CUST000069,UAE,Retail,27913,425,2024-08-24 02:32:53.300849915
CUST000070,Nigeria,Retail,12775,576,2023-10-31 13:13:41.354045153
CUST000071,Singapore,Retail,2961,503,2020-07-15 17:41:07.462637424
CUST000072,Singapore,SME,14791,493,2024-01-18 07:56:48.271670580
CUST000073,UK,SME,47304,846,2018-10-09 10:21:49.049474478
CUST000074,Singapore,Retail,11935,585,2024-06-23 08:17:42.203220367
CUST000075,UK,Retail,28435,356,2022-06-04 02:41:57.240984917
CUST000076,Nigeria,Retail,33953,602,2018-05-20 01:51:05.239141941
CUST000077,UAE,Retail,19044,462,2022-07-06 08:44:47.821210861
CUST000078,UAE,Retail,12758,318,2024-10-27 03:37:48.142399311
CUST000079,UAE,Retail,31341,669,2018-06-28 11:31:35.660605907
CUST000080,Singapore,SME,49258,563,2021-11-19 08:04:31.345623493
CUST000081,Nigeria,Retail,49690,412,2023-03-28 02:38:37.161719322
CUST000082,Singapore,Retail,11236,787,2023-09-03 19:56:56.214876652
CUST000083,Singapore,Retail,38143,626,2020-11-24 03:45:50.010503769
CUST000084,Nigeria,Retail,44450,841,2019-06-07 01:17:36.250932217
CUST000085,Nigeria,Retail,35464,364,2018-04-19 06:27:39.469333172
CUST000086,Nigeria,Retail,28544,591,2022-01-22 08:38:05.311472893
CUST000087,Nigeria,Retail,40433,324,2021-03-04 02:14:47.616657972
CUST000088,UAE,SME,16497,848,2024-08-22 22:32:45.749570847
CUST000089,USA,Retail,14715,300,2018-06-04 23:12:07.115934849
