loan_id,customer_id,loan_amount,interest_rate,tenure_months,origination_date
LOAN000000,CUST000450,1092,24.7,36,2020-11-30 15:47:58.812486410
LOAN000001,CUST000556,6958,32.21,36,2022-12-22 01:18:23.747202396
LOAN000002,CUST000135,2221,10.06,36,2021-04-13 05:37:42.037771225
LOAN000003,CUST000854,12488,34.05,6,2019-11-08 19:44:53.614990473
LOAN000004,CUST000015,18707,18.59,36,2020-05-02 22:12:23.255214214
LOAN000005,CUST000332,19672,33.37,6,2021-07-18 15:23:05.972848654
LOAN000006,CUST000194,19721,25.3,6,2019-09-27 06:01:13.718218565
LOAN000007,CUST000495,4236,14.05,36,2022-01-21 21:11:53.986239433
LOAN000008,CUST000008,16827,10.65,12,2021-10-30 01:18:35.864270687
LOAN000009,CUST000827,12753,14.11,12,2022-07-29 01:06:51.527289867
LOAN000010,CUST000333,15579,7.79,36,2023-09-09 05:58:01.431787491
LOAN000011,CUST000332,4923,9.32,12,2023-07-24 18:38:37.988509417
LOAN000012,CUST000326,5020,8.14,24,2023-09-24 12:49:04.390494347
LOAN000013,CUST000014,19685,17.69,24,2020-03-22 20:24:58.766279936
LOAN000014,CUST000838,5571,28.87,6,2019-08-29 05:43:04.793387175
LOAN000015,CUST000613,17372,9.24,12,2020-07-05 22:58:26.841202974
LOAN000016,CUST000225,9633,8.91,24,2023-06-23 10:12:45.400719404
LOAN000017,CUST000424,7227,24.3,36,2023-11-10 23:16:17.298839092
LOAN000018,CUST000789,3820,10.92,12,2023-04-19 03:03:23.960565090
LOAN000019,CUST000407,19367,7.93,24,2019-07-20 21:24:59.798496485
LOAN000020,CUST000112,15796,10.01,24,2023-09-27 00:05:04.513100624
LOAN000021,CUST000996,18899,32.71,36,2021-02-12 01:14:31.886234999
LOAN000022,CUST000427,19485,29.64,6,2019-01-18 00:00:51.056529760
LOAN000023,CUST000000,18222,15.62,36,2021-03-18 19:27:47.860375881
LOAN000024,CUST000265,1464,24.67,6,2019-03-26 02:56:07.050687790
LOAN000025,CUST000490,2808,21.12,24,2021-09-20 02:54:21.661073446
LOAN000026,CUST000207,13082,25.31,6,2020-09-10 04:47:30.114244699
LOAN000027,CUST000621,17408,25.48,24,2021-05-14 11:48:45.107372046
LOAN000028,CUST000711,251,23.86,24,2022-01-24 15:34:40.401142836
LOAN000029,CUST000951,17396,12.98,12,2023-05-06 10:20:21.203232527
LOAN000030,CUST000368,2421,6.17,6,2022-04-23 15:10:28.874300957
LOAN000031,CUST000984,13965,18.67,6,2021-03-03 13:45:27.403876066
LOAN000032,CUST000305,595,31.73,6,2023-02-05 06:36:22.533300400
LOAN000033,CUST000011,12087,22.08,36,2023-07-12 14:13:53.749217749
LOAN000034,CUST000344,2248,29.97,12,2019-08-07 16:21:38.768128633
LOAN000035,CUST000464,656,34.75,12,2021-08-29 07:25:50.909784794
LOAN000036,CUST000699,13493,9.91,12,2020-06-03 12:27:07.645510435
LOAN000037,CUST000665,1652,25.75,36,2019-03-27 22:24:35.768733740
LOAN000038,CUST000493,18604,25.23,6,2022-05-05 18:23:25.320031166
LOAN000039,CUST000367,3185,34.4,6,2023-04-25 10:03:59.584943295
LOAN000040,CUST000845,19988,34.57,6,2019-10-25 11:02:45.347342253
LOAN000041,CUST000936,256,25.6,12,2023-01-23 11:12:58.074155331
LOAN000042,CUST000419,9026,12.31,12,2023-04-08 07:12:52.655482531
LOAN000043,CUST000888,7262,28.96,24,2023-07-28 14:03:20.013897419
LOAN000044,CUST000790,8155,8.21,36,2020-04-29 09:51:13.478785753
LOAN000045,CUST000170,4754,28.42,36,2023-07-09 14:50:20.863974094
LOAN000046,CUST000133,11568,32.31,12,2020-08-08 12:43:28.428849936
LOAN000047,CUST000964,254,16.49,24,2021-10-05 13:39:39.966026306
LOAN000048,CUST000426,8050,23.92,6,2019-04-03 05:26:21.846314192
LOAN000049,CUST000024,15423,17.9,12,2019-03-22 03:02:41.340018511
LOAN000050,CUST000529,17480,18.13,36,2022-08-08 09:38:08.429193735
LOAN000051,CUST000189,4726,14.31,36,2021-03-22 14:53:25.997635365
LOAN000052,CUST000140,19389,27.86,36,2020-04-12 23:45:25.409450054
LOAN000053,CUST000554,14359,33.09,6,2019-12-14 16:40:51.779264450
LOAN000054,CUST000845,14973,33.22,36,2022-05-08 08:02:30.420291662
LOAN000055,CUST000795,13116,10.24,6,2019-01-01 17:35:50.155319452
LOAN000056,CUST000657,9469,31.24,6,2023-01-11 13:22:28.555978537
LOAN000057,CUST000314,253,27.12,6,2019-05-25 17:02:05.060536861
LOAN000058,CUST000443,7953,12.59,12,2019-12-16 15:50:27.181440353
LOAN000059,CUST000318,12479,7.02,6,2020-12-06 06:25:25.635314226
LOAN000060,CUST000440,15892,13.04,24,2021-06-04 08:26:57.873546600
LOAN000061,CUST000091,5699,32.37,36,2020-10-10 05:18:21.439548731
LOAN000062,CUST000178,18200,24.0,12,2020-08-08 14:53:23.705778122
LOAN000063,CUST000055,14885,26.63,36,2023-10-27 02:39:19.127143383
LOAN000064,CUST000154,11149,12.71,6,2022-03-17 12:35:16.622917891
LOAN000065,CUST000671,886,26.58,12,2019-02-12 18:55:33.009673595
LOAN000066,CUST000110,4468,5.84,24,2021-02-24 12:01:44.441988945
LOAN000067,CUST000136,15023,16.26,6,2023-05-17 18:22:52.527287006
LOAN000068,CUST000231,4372,23.8,36,2020-07-04 11:00:57.287739992
LOAN000069,CUST000991,6094,9.38,24,2019-06-22 15:50:14.112214088
LOAN000070,CUST000467,19910,29.69,6,2022-10-16 19:27:15.228563547
LOAN000071,CUST000731,7111,12.05,24,2022-01-11 13:57:00.614760637
LOAN000072,CUST000480,14186,24.57,6,2021-11-07 09:22:31.234759331
LOAN000073,CUST000067,9361,17.16,12,2019-04-08 19:56:20.933646202
LOAN000074,CUST000813,18833,22.88,6,2019-09-14 13:13:42.979003429
LOAN000075,CUST000248,7111,8.22,12,2022-02-10 18:36:17.062716484
LOAN000076,CUST000993,1312,5.51,6,2020-01-15 11:40:19.301131248
LOAN000077,CUST000322,14241,32.29,6,2021-07-09 10:22:01.829621792
LOAN000078,CUST000921,9444,13.09,36,2021-09-21 22:53:42.030787706
LOAN000079,CUST000903,6804,29.59,24,2020-06-01 16:25:08.783161163
LOAN000080,CUST000517,15996,34.98,24,2023-09-28 19:47:02.459221363
LOAN000081,CUST000975,18995,11.34,24,2023-03-19 08:08:49.264664173
LOAN000082,CUST000791,243,12.96,6,2022-08-12 01:17:47.754599094
LOAN000083,CUST000431,10781,24.89,6,2019-05-23 10:00:11.525493383
LOAN000084,CUST000486,7467,33.96,6,2019-07-13 19:02:31.078314543
LOAN000085,CUST000605,3328,32.47,12,2021-06-18 19:38:58.924268961
