month_end,inflation,unemployment
2023-01-31,6.19,11.3
2023-02-28,14.85,4.45
2023-03-31,6.1,6.75
2023-04-30,10.55,10.63
2023-05-31,14.73,5.26
2023-06-30,18.17,11.17
2023-07-31,8.49,6.2
2023-08-31,18.08,5.33
2023-09-30,17.71,12.24
2023-10-31,18.78,10.26
2023-11-30,4.14,12.26
2023-12-31,13.5,13.23
2024-01-31,17.61,6.33
2024-02-29,16.69,7.67
2024-03-31,18.68,3.23
2024-04-30,18.56,12.26
2024-05-31,6.63,14.53
2024-06-30,18.66,13.04
2024-07-31,15.63,13.8
2024-08-31,2.15,10.26
2024-09-30,10.01,9.73
2024-10-31,7.99,9.58
2024-11-30,8.35,12.07
2024-12-31,18.64,7.19
2025-01-31,11.49,9.8
