payment_id,loan_id,payment_date,amount_paid,days_past_due
PAY000000,LOAN000033,2021-07-26 07:25:06.488233805,1559,0
PAY000001,LOAN000870,2023-10-08 22:45:10.134213448,758,0
PAY000002,LOAN000265,2021-02-06 01:27:54.503277062,294,0
PAY000003,LOAN000639,2021-12-10 20:18:49.599968195,339,0
PAY000004,LOAN000723,2024-04-30 16:24:28.413571358,59,0
PAY000005,LOAN000774,2023-08-16 12:28:14.794064045,782,5
PAY000006,LOAN000823,2022-01-07 18:18:17.849132538,1655,0
PAY000007,LOAN000079,2021-01-27 08:07:00.989765882,1742,30
PAY000008,LOAN000676,2021-10-12 08:30:07.204362869,387,5
PAY000009,LOAN000412,2021-06-03 01:23:55.447168112,1797,0
PAY000010,LOAN000251,2020-11-17 17:09:47.151943684,1633,30
PAY000011,LOAN000011,2023-09-20 01:39:41.738496780,1009,0
PAY000012,LOAN000400,2021-04-05 12:45:37.434982777,1858,30
PAY000013,LOAN000815,2022-04-09 18:20:06.834897995,1571,60
PAY000014,LOAN000723,2021-12-05 23:09:54.089530945,783,0
PAY000015,LOAN000281,2024-11-29 06:07:44.034294605,1177,60
PAY000016,LOAN000111,2021-12-15 12:36:45.797080278,1093,30
PAY000017,LOAN000722,2020-05-26 03:04:18.860419512,877,60
PAY000018,LOAN000377,2020-06-13 02:40:46.555610657,1813,15
PAY000019,LOAN000750,2022-12-15 07:22:09.026000977,1108,0
PAY000020,LOAN000267,2022-12-31 00:53:34.859830141,12,60
PAY000021,LOAN000916,2022-02-04 01:44:39.172860384,1608,0
PAY000022,LOAN000297,2022-02-27 23:28:55.993792295,757,0
PAY000023,LOAN000316,2020-04-08 12:50:09.212663412,1481,0
PAY000024,LOAN000569,2022-08-01 17:31:52.995174170,1991,0
PAY000025,LOAN000508,2022-07-11 03:48:59.459319592,1774,5
PAY000026,LOAN000949,2020-09-30 05:26:18.672305584,1935,30
PAY000027,LOAN000545,2020-07-08 17:08:57.847891092,284,60
PAY000028,LOAN000774,2020-08-13 18:24:23.644103289,1563,0
PAY000029,LOAN000364,2020-07-03 13:53:11.587735415,1625,90
PAY000030,LOAN000546,2023-01-18 22:29:05.848425150,224,60
PAY000031,LOAN000270,2020-12-24 23:22:16.833227396,1716,0
PAY000032,LOAN000960,2021-04-04 08:42:33.527217150,1518,0
PAY000033,LOAN000473,2020-11-13 02:47:28.956308365,338,30
PAY000034,LOAN000738,2024-10-15 23:09:44.746048689,264,15
PAY000035,LOAN000536,2024-04-10 09:15:59.487414122,1420,30
PAY000036,LOAN000233,2021-02-25 02:44:15.461482048,135,30
PAY000037,LOAN000058,2021-08-21 11:07:36.681230545,776,0
PAY000038,LOAN000250,2021-01-18 11:22:52.857802153,1617,0
PAY000039,LOAN000846,2022-06-17 15:46:37.453577518,1583,5
PAY000040,LOAN000085,2020-02-05 19:52:57.460551739,1357,0
PAY000041,LOAN000762,2023-05-11 14:08:40.034784079,1237,15
PAY000042,LOAN000389,2022-08-13 19:26:18.791534185,1205,30
PAY000043,LOAN000179,2024-06-29 19:31:11.021328449,1768,5
PAY000044,LOAN000718,2020-10-27 08:17:25.520756244,226,90
PAY000045,LOAN000855,2024-01-09 02:34:55.996638536,1278,0
PAY000046,LOAN000148,2023-12-17 21:54:23.624411583,1369,30
PAY000047,LOAN000582,2020-08-20 08:38:26.825215340,1736,15
PAY000048,LOAN000120,2021-12-29 04:01:29.496978045,1331,90
PAY000049,LOAN000764,2020-11-06 20:51:10.832057238,841,30
PAY000050,LOAN000604,2021-04-10 08:59:04.214625359,191,0
PAY000051,LOAN000255,2021-04-25 22:49:05.786290884,343,90
PAY000052,LOAN000765,2022-10-13 05:51:12.258871554,520,15
PAY000053,LOAN000863,2022-01-21 15:32:47.528998375,392,0
PAY000054,LOAN000799,2024-09-27 12:11:16.764246464,1750,15
PAY000055,LOAN000308,2020-08-18 21:04:40.742732286,1906,60
PAY000056,LOAN000058,2024-11-13 22:27:09.824081421,1232,5
PAY000057,LOAN000068,2021-02-25 09:02:35.146014214,341,0
PAY000058,LOAN000445,2023-11-13 00:58:34.904897451,1198,30
PAY000059,LOAN000387,2021-09-11 07:09:11.962173223,1275,30
PAY000060,LOAN000085,2020-09-18 09:49:58.894530058,909,5
PAY000061,LOAN000785,2024-04-16 08:43:29.980837584,651,0
PAY000062,LOAN000226,2021-07-18 06:55:57.754993677,1260,0
PAY000063,LOAN000592,2023-04-18 17:29:30.352338791,643,30
PAY000064,LOAN000625,2022-10-31 21:25:21.733242273,1589,30
PAY000065,LOAN000183,2022-05-11 21:34:14.355015755,460,0
PAY000066,LOAN000791,2022-06-24 20:41:32.052095413,205,0
PAY000067,LOAN000321,2023-08-30 19:10:05.005627155,1903,0
PAY000068,LOAN000908,2020-06-09 08:40:00.258544683,1237,30
PAY000069,LOAN000317,2023-05-05 18:23:08.395908833,467,0
PAY000070,LOAN000565,2024-06-24 15:34:08.479649544,839,0
PAY000071,LOAN000398,2020-04-15 13:53:48.706537247,266,0
PAY000072,LOAN000708,2020-09-13 23:22:03.427384138,1562,15
PAY000073,LOAN000898,2023-08-02 06:52:37.777838469,1305,0
PAY000074,LOAN000292,2022-03-09 21:55:32.564028025,18,0
PAY000075,LOAN000292,2022-01-07 06:47:59.731579065,770,60
PAY000076,LOAN000484,2020-09-07 05:42:46.769384384,958,0
PAY000077,LOAN000898,2022-07-14 20:51:09.883416891,1234,0
PAY000078,LOAN000446,2020-08-19 04:45:31.699219465,1092,60
PAY000079,LOAN000802,2022-05-20 18:51:13.565896511,896,0
PAY000080,LOAN000691,2023-10-27 03:00:13.063934565,402,5
PAY000081,LOAN000982,2021-04-16 20:22:32.032690762,1685,0
PAY000082,LOAN000891,2022-05-28 09:30:42.848440886,1152,30
PAY000083,LOAN000411,2024-12-17 09:54:58.414004803,1586,0
PAY000084,LOAN000507,2023-06-08 12:14:51.947620153,408,30
PAY000085,LOAN000733,2024-03-17 03:48:42.149485350,1867,0
PAY000086,LOAN000785,2022-01-27 22:14:16.268880606,340,0
PAY000087,LOAN000889,2023-11-03 21:09:56.726001024,1300,30
PAY000088,LOAN000243,2020-03-15 00:14:46.374471903,1553,90
PAY000089,LOAN000419,2020-08-12 13:24:34.315604448,1728,0
PAY000090,LOAN000928,2021-01-06 00:14:21.690092087,489,30
PAY000091,LOAN000959,2022-01-04 08:47:16.765901327,143,0
PAY000092,LOAN000153,2024-03-25 04:13:17.129380941,1726,5
PAY000093,LOAN000815,2021-09-24 15:04:25.661817074,925,0
PAY000094,LOAN000423,2023-04-10 23:49:48.335757732,944,15
PAY000095,LOAN000272,2023-07-19 22:00:47.514755249,364,0
PAY000096,LOAN000935,2022-12-06 22:55:25.903436184,593,0
PAY000097,LOAN000646,2021-10-14 16:20:44.953166962,1531,0
PAY000098,LOAN000824,2022-11-20 06:38:05.738839865,634,0
PAY000099,LOAN000519,2021-09-17 07:39:42.165521145,1140,60
PAY000100,LOAN000127,2020-06-02 05:41:44.476902962,299,90
PAY000101,LOAN000372,2024-12-18 20:28:07.807801247,834,30
PAY000102,LOAN000567,2020-08-20 08:41:46.416762114,638,0
PAY000103,LOAN000637,2020-05-12 04:19:54.963996410,1028,0
PAY000104,LOAN000158,2024-05-24 01:48:58.648447275,641,30
PAY000105,LOAN000570,2021-07-05 10:50:46.358994007,1180,90
PAY000106,LOAN000569,2023-04-03 02:13:18.189030647,336,0
PAY000107,LOAN000651,2021-08-24 02:14:35.643226624,1448,30
PAY000108,LOAN000175,2021-12-16 04:29:12.716865540,219,90
PAY000109,LOAN000926,2021-04-23 21:07:46.549172878,1329,60
PAY000110,LOAN000619,2021-09-18 17:47:36.837642908,1431,0
PAY000111,LOAN000210,2022-01-20 08:23:28.193707466,1136,0
PAY000112,LOAN000446,2023-08-09 04:48:13.671219826,645,0
PAY000113,LOAN000585,2022-07-23 13:50:20.561305761,1790,5
PAY000114,LOAN000166,2024-09-19 21:26:51.510836839,1541,0
PAY000115,LOAN000459,2020-03-17 12:22:17.432553530,1924,0
PAY000116,LOAN000915,2022-07-08 02:32:23.318768978,877,30
PAY000117,LOAN000356,2022-12-03 09:05:18.746495485,1242,0
PAY000118,LOAN000303,2024-08-08 04:47:50.803385258,1966,0
PAY000119,LOAN000232,2020-03-30 19:30:10.597508430,437,15
PAY000120,LOAN000326,2022-11-13 18:48:35.280861616,402,15
PAY000121,LOAN000883,2024-04-08 13:57:54.381937981,835,30
PAY000122,LOAN000181,2021-03-18 00:02:49.281260252,925,0
PAY000123,LOAN000633,2024-05-19 23:40:00.833079338,1142,30
PAY000124,LOAN000333,2020-02-04 19:00:55.475492954,1922,5
PAY000125,LOAN000714,2023-08-31 04:40:14.081720829,357,0
PAY000126,LOAN000966,2024-08-31 19:08:54.678491116,59,30
PAY000127,LOAN000028,2023-04-15 16:48:11.043336391,925,0
PAY000128,LOAN000713,2022-03-13 02:33:15.444196939,1138,0
PAY000129,LOAN000092,2020-03-22 23:56:34.117064714,1453,0
PAY000130,LOAN000840,2024-08-08 01:09:01.751654148,1406,0
PAY000131,LOAN000867,2022-05-09 05:32:55.581288576,1060,0
PAY000132,LOAN000687,2020-02-22 23:26:57.284313440,977,30
PAY000133,LOAN000329,2023-06-14 07:16:27.608244896,809,0
PAY000134,LOAN000722,2022-05-30 07:35:59.621322393,1802,90
PAY000135,LOAN000183,2020-08-15 04:17:36.525173426,1306,5
PAY000136,LOAN000094,2021-01-26 11:23:25.060690641,1026,0
PAY000137,LOAN000784,2020-04-27 19:47:14.483860493,658,0
PAY000138,LOAN000648,2022-11-15 05:37:23.264909506,1373,5
PAY000139,LOAN000748,2023-02-10 10:44:54.982471466,310,15
