loan_id,dpd_bucket,pd_estimate,lgd_estimate,npl_flag
LOAN000000,0,0.19,0.363,0
LOAN000001,0,0.164,0.43,0
LOAN000002,1-30,0.231,0.64,0
LOAN000003,0,0.021,0.763,0
LOAN000004,0,0.281,0.518,0
LOAN000005,0,0.038,0.206,1
LOAN000006,0,0.205,0.403,0
LOAN000007,1-30,0.049,0.439,0
LOAN000008,0,0.265,0.404,0
LOAN000009,0,0.158,0.462,0
LOAN000010,90+,0.034,0.58,0
LOAN000011,0,0.189,0.273,0
LOAN000012,0,0.013,0.364,0
LOAN000013,0,0.235,0.505,0
LOAN000014,90+,0.199,0.389,0
LOAN000015,90+,0.072,0.795,0
LOAN000016,0,0.119,0.459,0
LOAN000017,0,0.012,0.722,1
LOAN000018,61-90,0.211,0.738,0
LOAN000019,0,0.104,0.702,0
LOAN000020,0,0.176,0.228,0
LOAN000021,31-60,0.287,0.769,0
LOAN000022,0,0.097,0.277,0
LOAN000023,0,0.297,0.221,0
LOAN000024,31-60,0.193,0.449,0
LOAN000025,0,0.08,0.317,1
LOAN000026,0,0.137,0.311,0
LOAN000027,0,0.225,0.373,0
LOAN000028,0,0.139,0.349,0
LOAN000029,0,0.03,0.611,0
LOAN000030,0,0.059,0.312,0
LOAN000031,1-30,0.239,0.526,0
LOAN000032,61-90,0.198,0.792,0
LOAN000033,0,0.175,0.459,0
LOAN000034,31-60,0.059,0.585,0
LOAN000035,31-60,0.253,0.782,0
LOAN000036,1-30,0.289,0.283,0
LOAN000037,0,0.022,0.451,0
LOAN000038,61-90,0.033,0.71,0
LOAN000039,0,0.267,0.759,0
LOAN000040,0,0.247,0.561,0
LOAN000041,0,0.189,0.286,0
LOAN000042,31-60,0.284,0.741,0
LOAN000043,0,0.197,0.305,0
LOAN000044,0,0.073,0.412,1
LOAN000045,1-30,0.221,0.425,0
LOAN000046,61-90,0.197,0.468,0
LOAN000047,1-30,0.296,0.674,0
LOAN000048,0,0.072,0.681,0
LOAN000049,0,0.183,0.632,0
LOAN000050,1-30,0.236,0.213,0
LOAN000051,0,0.108,0.539,1
LOAN000052,1-30,0.12,0.648,0
LOAN000053,0,0.267,0.467,0
LOAN000054,61-90,0.127,0.767,0
LOAN000055,0,0.191,0.694,0
LOAN000056,0,0.268,0.583,0
LOAN000057,61-90,0.071,0.237,0
LOAN000058,0,0.295,0.591,0
LOAN000059,0,0.214,0.747,0
LOAN000060,31-60,0.154,0.428,0
LOAN000061,0,0.135,0.703,0
LOAN000062,0,0.287,0.388,0
LOAN000063,0,0.07,0.542,0
LOAN000064,0,0.1,0.589,0
LOAN000065,0,0.099,0.607,0
LOAN000066,1-30,0.094,0.73,0
LOAN000067,1-30,0.146,0.341,0
LOAN000068,0,0.297,0.357,0
LOAN000069,0,0.268,0.622,0
LOAN000070,90+,0.105,0.306,0
LOAN000071,90+,0.133,0.479,0
LOAN000072,0,0.204,0.212,0
LOAN000073,31-60,0.015,0.285,0
LOAN000074,1-30,0.248,0.607,0
LOAN000075,0,0.265,0.648,0
LOAN000076,0,0.259,0.269,0
LOAN000077,0,0.119,0.337,0
LOAN000078,31-60,0.144,0.259,0
LOAN000079,1-30,0.014,0.46,0
LOAN000080,1-30,0.126,0.276,1
LOAN000081,0,0.144,0.462,0
LOAN000082,1-30,0.273,0.639,0
LOAN000083,31-60,0.269,0.61,0
LOAN000084,61-90,0.29,0.368,0
LOAN000085,0,0.267,0.604,1
LOAN000086,1-30,0.012,0.757,0
LOAN000087,0,0.196,0.409,0
LOAN000088,1-30,0.03,0.397,0
LOAN000089,1-30,0.089,0.543,0
LOAN000090,0,0.178,0.347,0
LOAN000091,31-60,0.213,0.591,0
LOAN000092,0,0.2,0.699,0
LOAN000093,31-60,0.024,0.476,0
LOAN000094,0,0.04,0.608,0
LOAN000095,1-30,0.047,0.591,0
LOAN000096,61-90,0.037,0.223,0
LOAN000097,0,0.062,0.31,0
LOAN000098,0,0.21,0.736,0
LOAN000099,0,0.251,0.763,0
LOAN000100,0,0.129,0.668,0
LOAN000101,0,0.211,0.753,0
LOAN000102,1-30,0.068,0.384,0
LOAN000103,61-90,0.292,0.349,0
LOAN000104,61-90,0.111,0.431,0
LOAN000105,0,0.255,0.233,1
LOAN000106,1-30,0.284,0.686,0
LOAN000107,31-60,0.261,0.791,0
LOAN000108,0,0.029,0.694,0
LOAN000109,0,0.199,0.533,0
LOAN000110,0,0.045,0.377,0
LOAN000111,31-60,0.012,0.319,0
LOAN000112,0,0.025,0.418,0
LOAN000113,1-30,0.276,0.6,0
LOAN000114,0,0.273,0.468,0
LOAN000115,90+,0.075,0.76,0
LOAN000116,0,0.169,0.713,0
LOAN000117,1-30,0.287,0.261,0
LOAN000118,0,0.154,0.279,0
LOAN000119,0,0.124,0.606,0
LOAN000120,31-60,0.15,0.338,0
LOAN000121,90+,0.239,0.675,0
LOAN000122,0,0.148,0.555,0
LOAN000123,0,0.237,0.338,0
LOAN000124,0,0.135,0.487,0
LOAN000125,0,0.083,0.444,0
LOAN000126,0,0.105,0.724,0
LOAN000127,31-60,0.033,0.219,1
LOAN000128,90+,0.154,0.738,0
LOAN000129,0,0.053,0.591,0
LOAN000130,0,0.245,0.643,0
LOAN000131,0,0.132,0.202,0
LOAN000132,0,0.232,0.577,0
LOAN000133,0,0.287,0.553,1
LOAN000134,0,0.256,0.522,1
LOAN000135,0,0.286,0.672,0
LOAN000136,0,0.175,0.534,0
LOAN000137,0,0.058,0.714,0
LOAN000138,0,0.281,0.34,0
LOAN000139,0,0.262,0.684,0
LOAN000140,61-90,0.261,0.308,0
LOAN000141,1-30,0.211,0.688,0
LOAN000142,61-90,0.191,0.764,0
LOAN000143,0,0.014,0.401,0
LOAN000144,0,0.227,0.518,0
LOAN000145,0,0.037,0.595,0
LOAN000146,0,0.085,0.248,0
LOAN000147,1-30,0.17,0.496,0
LOAN000148,0,0.141,0.416,0
LOAN000149,0,0.015,0.723,1
LOAN000150,0,0.249,0.726,1
LOAN000151,0,0.265,0.62,0
LOAN000152,90+,0.208,0.593,0
LOAN000153,0,0.167,0.64,0
LOAN000154,1-30,0.289,0.42,0
LOAN000155,0,0.045,0.443,0
LOAN000156,90+,0.224,0.532,0
LOAN000157,0,0.047,0.763,0
LOAN000158,1-30,0.121,0.634,0
LOAN000159,0,0.18,0.531,0
LOAN000160,1-30,0.224,0.662,0
LOAN000161,0,0.011,0.423,1
LOAN000162,0,0.086,0.638,0
LOAN000163,61-90,0.166,0.446,0
LOAN000164,90+,0.165,0.368,0
LOAN000165,0,0.195,0.566,0
LOAN000166,31-60,0.098,0.612,0
LOAN000167,0,0.167,0.476,0
LOAN000168,31-60,0.065,0.539,0
LOAN000169,1-30,0.064,0.616,0
LOAN000170,0,0.177,0.661,0
LOAN000171,61-90,0.209,0.737,0
LOAN000172,31-60,0.045,0.413,0
LOAN000173,0,0.046,0.771,0
LOAN000174,31-60,0.174,0.582,0
LOAN000175,0,0.088,0.673,0
LOAN000176,31-60,0.124,0.62,0
LOAN000177,1-30,0.126,0.323,0
LOAN000178,0,0.062,0.243,0
LOAN000179,1-30,0.01,0.636,0
LOAN000180,0,0.257,0.507,0
LOAN000181,0,0.217,0.621,0
LOAN000182,0,0.21,0.486,0
LOAN000183,0,0.168,0.387,0
LOAN000184,31-60,0.213,0.371,0
LOAN000185,0,0.281,0.638,0
LOAN000186,0,0.203,0.366,0
LOAN000187,1-30,0.087,0.629,0
LOAN000188,0,0.175,0.43,0
LOAN000189,0,0.138,0.663,0
LOAN000190,0,0.171,0.286,0
LOAN000191,1-30,0.16,0.323,0
LOAN000192,0,0.259,0.612,0
LOAN000193,0,0.199,0.536,0
LOAN000194,0,0.065,0.322,0
