loan_id,month_end,days_past_due,pd_estimate,lgd_estimate,prev_dpd,recovery_amount
LOAN000222,2023-01-31,90,0.1382,0.7557,,4137.33
LOAN000170,2023-01-31,90,0.2033,0.4914,,1785.19
LOAN000189,2023-01-31,90,0.0944,0.3341,,4270.51
LOAN000946,2023-01-31,90,0.0287,0.5986,,4077.64
LOAN000114,2023-01-31,90,0.1607,0.246,,1118.32
LOAN000632,2023-01-31,90,0.2357,0.894,,4240.02
LOAN000347,2023-01-31,90,0.087,0.4409,,53.78
LOAN000469,2023-01-31,90,0.0438,0.7152,,4671.3
LOAN000314,2023-01-31,90,0.1701,0.8591,,1396.49
LOAN000757,2023-01-31,90,0.0928,0.742,,3660.19
LOAN000820,2023-01-31,90,0.1374,0.3547,,803.65
LOAN000081,2023-01-31,90,0.0383,0.3082,,4067.56
LOAN000067,2023-01-31,90,0.0864,0.6407,60.0,546.77
LOAN000794,2023-01-31,90,0.1066,0.4425,,1784.55
LOAN000620,2023-01-31,90,0.1907,0.5953,,4517.32
LOAN000922,2023-02-28,90,0.1197,0.6887,,1263.19
LOAN000773,2023-02-28,90,0.2499,0.4812,60.0,1430.32
LOAN000847,2023-02-28,90,0.1138,0.5296,,4007.28
LOAN000828,2023-02-28,90,0.2925,0.5449,,1468.4
LOAN000778,2023-02-28,90,0.228,0.4342,,924.15
LOAN000071,2023-02-28,90,0.0535,0.8538,,465.23
LOAN000541,2023-02-28,90,0.2323,0.3552,,4042.04
LOAN000250,2023-02-28,90,0.1612,0.5682,,3840.59
LOAN000204,2023-02-28,90,0.0903,0.4768,,1301.83
LOAN000666,2023-02-28,90,0.1793,0.6543,0.0,1552.02
LOAN000363,2023-02-28,90,0.271,0.2951,0.0,3381.59
LOAN000827,2023-02-28,90,0.0347,0.2076,30.0,1048.4
LOAN000176,2023-02-28,90,0.1122,0.7632,30.0,2191.94
LOAN000674,2023-02-28,90,0.2111,0.5529,,403.32
LOAN000691,2023-02-28,90,0.2995,0.6887,0.0,4451.11
LOAN000018,2023-02-28,90,0.1152,0.7407,,4555.52
LOAN000273,2023-02-28,90,0.1557,0.8995,,2883.9
LOAN000371,2023-03-31,90,0.0114,0.5539,0.0,393.93
LOAN000607,2023-03-31,90,0.0126,0.8484,0.0,122.74
LOAN000371,2023-03-31,90,0.1811,0.4911,90.0,2191.29
LOAN000643,2023-03-31,90,0.1731,0.6829,0.0,1092.98
LOAN000820,2023-03-31,90,0.0663,0.5551,90.0,2695.96
LOAN000729,2023-03-31,90,0.1519,0.4328,,1869.07
LOAN000064,2023-03-31,90,0.0941,0.886,,3308.85
LOAN000022,2023-03-31,90,0.1178,0.614,,3273.88
LOAN000632,2023-03-31,90,0.1586,0.388,0.0,2384.73
LOAN000956,2023-03-31,90,0.2352,0.8334,0.0,3233.5
LOAN000185,2023-03-31,90,0.0491,0.405,0.0,4775.72
LOAN000497,2023-03-31,90,0.0698,0.4287,,3762.47
LOAN000546,2023-03-31,90,0.2812,0.7249,60.0,144.03
LOAN000279,2023-03-31,90,0.1477,0.37,0.0,4652.18
LOAN000436,2023-03-31,90,0.2797,0.7655,0.0,3638.01
LOAN000712,2023-03-31,90,0.2241,0.2319,0.0,3636.74
LOAN000385,2023-03-31,90,0.2635,0.6647,,3051.06
LOAN000393,2023-04-30,90,0.051,0.8398,0.0,906.9
LOAN000026,2023-04-30,90,0.1643,0.5042,0.0,3705.6
LOAN000005,2023-04-30,90,0.2811,0.3307,60.0,452.88
LOAN000000,2023-04-30,90,0.2652,0.5777,0.0,2261.81
LOAN000803,2023-04-30,90,0.2476,0.4578,0.0,1364.21
LOAN000839,2023-04-30,90,0.083,0.6109,30.0,686.78
LOAN000062,2023-04-30,90,0.0466,0.6049,60.0,3063.1
LOAN000780,2023-04-30,90,0.2118,0.6389,0.0,1664.88
LOAN000229,2023-04-30,90,0.1821,0.7732,0.0,532.39
LOAN000669,2023-04-30,90,0.2364,0.3555,30.0,2980.29
LOAN000351,2023-04-30,90,0.0884,0.5613,0.0,2526.73
LOAN000203,2023-04-30,90,0.081,0.7681,0.0,2209.38
LOAN000778,2023-04-30,90,0.0923,0.6031,90.0,3977.41
LOAN000200,2023-04-30,90,0.1684,0.7218,0.0,2129.23
LOAN000008,2023-04-30,90,0.0402,0.6776,0.0,2488.75
LOAN000152,2023-04-30,90,0.1852,0.5744,60.0,2936.12
LOAN000593,2023-04-30,90,0.1666,0.4458,0.0,3724.25
LOAN000672,2023-04-30,90,0.0867,0.3831,0.0,2846.2
LOAN000013,2023-04-30,90,0.1064,0.2807,0.0,4889.06
LOAN000072,2023-04-30,90,0.0379,0.5136,0.0,1570.4
LOAN000067,2023-04-30,90,0.0862,0.79,90.0,1218.57
LOAN000534,2023-04-30,90,0.1392,0.8895,60.0,4595.04
LOAN000577,2023-04-30,90,0.2182,0.8919,0.0,2637.02
LOAN000669,2023-05-31,90,0.2621,0.6469,90.0,4368.79
LOAN000415,2023-05-31,90,0.1305,0.3303,0.0,1974.49
LOAN000607,2023-05-31,90,0.0785,0.4385,0.0,4419.95
LOAN000729,2023-05-31,90,0.1095,0.7494,30.0,2734.84
LOAN000155,2023-05-31,90,0.0849,0.3763,0.0,1478.37
LOAN000739,2023-05-31,90,0.039,0.6279,60.0,3891.61
LOAN000470,2023-05-31,90,0.1535,0.8508,0.0,3372.54
LOAN000877,2023-05-31,90,0.1108,0.2973,,1147.86
LOAN000578,2023-05-31,90,0.0615,0.883,60.0,4922.51
LOAN000831,2023-05-31,90,0.1353,0.3502,0.0,2907.46
LOAN000474,2023-05-31,90,0.2814,0.4877,0.0,3216.24
LOAN000318,2023-05-31,90,0.1337,0.5444,60.0,2990.36
LOAN000104,2023-05-31,90,0.2856,0.3841,0.0,4600.32
LOAN000076,2023-05-31,90,0.2705,0.7916,0.0,4797.97
LOAN000634,2023-05-31,90,0.2853,0.3512,0.0,947.39
LOAN000742,2023-05-31,90,0.1479,0.4224,0.0,2470.56
LOAN000488,2023-05-31,90,0.1253,0.2445,0.0,1004.57
LOAN000919,2023-05-31,90,0.2963,0.5684,30.0,1286.72
LOAN000244,2023-06-30,90,0.0548,0.7828,0.0,2784.87
LOAN000083,2023-06-30,90,0.1185,0.6148,60.0,1925.07
LOAN000557,2023-06-30,90,0.1957,0.8359,0.0,3763.86
LOAN000438,2023-06-30,90,0.2407,0.2591,,4787.27
LOAN000612,2023-06-30,90,0.2436,0.7905,30.0,1187.2
LOAN000732,2023-06-30,90,0.283,0.318,0.0,1260.12
LOAN000888,2023-06-30,90,0.283,0.3579,0.0,4298.13
LOAN000885,2023-06-30,90,0.0416,0.5001,0.0,4522.03
LOAN000663,2023-06-30,90,0.0413,0.8493,60.0,632.61
LOAN000787,2023-06-30,90,0.2397,0.2126,0.0,3952.54
LOAN000874,2023-06-30,90,0.0667,0.8993,30.0,3305.64
LOAN000330,2023-06-30,90,0.294,0.7889,,4496.15
LOAN000184,2023-06-30,90,0.2394,0.4502,0.0,3381.95
LOAN000987,2023-06-30,90,0.1373,0.407,0.0,2063.2
LOAN000047,2023-06-30,90,0.2205,0.6387,30.0,4476.54
LOAN000273,2023-06-30,90,0.2555,0.849,60.0,1137.98
LOAN000584,2023-06-30,90,0.0867,0.8164,,4859.37
LOAN000539,2023-06-30,90,0.1025,0.4575,,4440.49
LOAN000040,2023-06-30,90,0.1149,0.2428,60.0,3187.36
LOAN000743,2023-06-30,90,0.0356,0.5154,0.0,54.53
